,Seu ingresso no curso de graduação se deu por meio de políticas de ação afirmativa ou inclusão social?,"Qual a renda total de sua família, incluindo seus rendimentos?",Quem lhe deu maior incentivo para cursar a graduação?,Alguém em sua família concluiu um curso superior?,Até que etapa de escolarização sua mãe concluiu?,Até que etapa de escolarização seu pai concluiu?,qtd
692,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
698,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Pós-graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
591,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),4
699,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Pós-graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),4
768,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,4
496,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),4
732,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Sim,Pós-graduação,Ensino Superior - Graduação,4
761,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
743,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Outros membros da família que não os pais,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,4
481,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
568,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,4
571,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,4
829,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
832,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
432,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Ninguém,Sim,Pós-graduação,Pós-graduação,4
849,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Ensino médio,Ensino Superior - Graduação,4
420,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Ninguém,Sim,Ensino Superior - Graduação,Ensino Médio,4
404,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Professores,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
890,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Médio,4
894,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Nenhuma,Nenhuma,4
673,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
397,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,4
395,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
385,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
384,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino médio,Pós-graduação,4
585,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),4
831,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino médio,Nenhuma,4
640,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Ninguém,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,4
1216,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),4
1077,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,4
263,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
1262,Sim,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino médio,Ensino Superior - Graduação,4
15,Não,"Acima de 30 salários mínimos (mais de R$ 28110,00).",Pais,Sim,Pós-graduação,Pós-graduação,4
996,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,4
1021,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Nenhuma,Nenhuma,4
1035,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
220,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,4
36,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
37,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),4
1059,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
38,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Sim,Ensino médio,Ensino Médio,4
1210,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,4
41,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Sim,Nenhuma,Nenhuma,4
190,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Pós-graduação,Nenhuma,4
163,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino Superior - Graduação,Nenhuma,4
965,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Sim,Ensino médio,Ensino Médio,4
1082,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
345,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),4
139,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Nenhuma,Nenhuma,4
1207,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,4
1093,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,4
1205,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),4
114,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),4
56,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,4
1111,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Pós-graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),4
103,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
102,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,4
68,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,4
1143,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
79,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),4
968,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Sim,Nenhuma,Nenhuma,4
1166,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
316,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Não,Ensino médio,Ensino Médio,4
320,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino Superior - Graduação,Ensino Médio,4
952,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Nenhuma,Nenhuma,4
308,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
329,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),4
920,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,4
286,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Nenhuma,Nenhuma,4
296,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Não,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
377,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,3
39,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Sim,Ensino médio,Nenhuma,3
797,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
964,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
795,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
1058,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,3
196,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
945,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
570,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
947,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino médio,Ensino Médio,3
469,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Pós-graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
204,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Nenhuma,Nenhuma,3
1117,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Professores,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
1056,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
1055,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
208,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,3
1053,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,3
672,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,3
96,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Não,Nenhuma,Nenhuma,3
212,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
63,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino médio,Nenhuma,3
213,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Sim,Ensino médio,Ensino Médio,3
34,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
822,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,3
33,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
191,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Pós-graduação,Pós-graduação,3
168,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,3
303,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
1204,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
752,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Outros membros da família que não os pais,Sim,Pós-graduação,Ensino Médio,3
512,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,3
561,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Nenhuma,Nenhuma,3
510,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
325,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
1197,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
321,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,3
1198,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,3
1114,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
503,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
926,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,3
126,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,3
1078,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,3
318,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Não,Nenhuma,Nenhuma,3
129,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
130,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,3
770,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
771,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,3
1209,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,3
774,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
637,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Ninguém,Não,Ensino médio,Ensino Médio,3
940,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
157,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Nenhuma,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
941,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,3
582,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino Superior - Graduação,Nenhuma,3
32,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,3
1213,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,3
70,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
28,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Nenhuma,Nenhuma,3
998,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
959,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,3
871,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,3
995,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
288,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Pós-graduação,Ensino Médio,3
598,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino médio,Nenhuma,3
14,Não,"Acima de 30 salários mínimos (mais de R$ 28110,00).",Pais,Sim,Pós-graduação,Ensino Superior - Graduação,3
249,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
333,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
531,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
408,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Professores,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
854,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
887,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,3
1187,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
889,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
1260,Sim,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
1174,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
981,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
960,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
979,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Nenhuma,Nenhuma,3
396,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),3
77,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,3
969,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
859,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Não,Nenhuma,Nenhuma,3
860,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),3
